Rank,County,Region,Black population,% of county,Cumulative,Cumulative % of state
1,"Harris","Houston/Gulf/East",890273,18.7%,890273,25.2%
2,"Dallas","Dallas/Collin/NE",578968,22.2%,1469241,41.6%
3,"Tarrant","FW/Denton/Panhandle",366947,17.2%,1836188,52.0%
4,"Fort Bend","Houston/Gulf/East",174209,20.3%,2010397,57.0%
5,"Bexar","San Antonio/Corpus",149264,7.3%,2159661,61.2%
6,"Collin","Dallas/Collin/NE",117821,10.6%,2277482,64.5%
7,"Travis","Central Texas/Austin",102188,7.8%,2379670,67.4%
8,"Denton","FW/Denton/Panhandle",99365,10.5%,2479035,70.3%
9,"Jefferson","Houston/Gulf/East",83512,32.9%,2562547,72.6%
10,"Bell","Central Texas/Austin",82125,21.6%,2644672,75.0%
11,"Brazoria","Houston/Gulf/East",59286,15.5%,2703958,76.6%
12,"Williamson","Central Texas/Austin",42712,6.6%,2746670,77.8%
13,"Galveston","Houston/Gulf/East",42681,12.0%,2789351,79.1%
14,"Smith","Dallas/Collin/NE",39597,16.6%,2828948,80.2%
15,"Montgomery","Houston/Gulf/East",37118,5.7%,2866066,81.2%
16,"McLennan","Central Texas/Austin",35935,13.6%,2902001,82.2%
17,"Ellis","Dallas/Collin/NE",26896,13.2%,2928897,83.0%
18,"Kaufman","Dallas/Collin/NE",26783,16.7%,2955680,83.8%
19,"El Paso","El Paso/Border/RGV",25346,2.9%,2981026,84.5%
20,"Brazos","Central Texas/Austin",24510,10.3%,3005536,85.2%
21,"Gregg","Dallas/Collin/NE",23969,19.2%,3029505,85.9%
22,"Bowie","Dallas/Collin/NE",22837,24.7%,3052342,86.5%
23,"Lubbock","FW/Denton/Panhandle",21230,6.7%,3073572,87.1%
24,"Walker","Houston/Gulf/East",15506,19.8%,3089078,87.5%
25,"Harrison","Dallas/Collin/NE",14210,20.4%,3103288,87.9%
26,"Waller","Houston/Gulf/East",13895,23.4%,3117183,88.3%
27,"Nueces","San Antonio/Corpus",13160,3.7%,3130343,88.7%
28,"Guadalupe","San Antonio/Corpus",13040,7.3%,3143383,89.1%
29,"Wichita","FW/Denton/Panhandle",13037,10.0%,3156420,89.5%
30,"Potter","FW/Denton/Panhandle",11919,10.2%,3168339,89.8%
31,"Taylor","FW/Denton/Panhandle",11066,7.7%,3179405,90.1%
32,"Nacogdoches","Houston/Gulf/East",11063,17.0%,3190468,90.4%
33,"Midland","FW/Denton/Panhandle",10995,6.4%,3201463,90.7%
34,"Coryell","Central Texas/Austin",10658,12.7%,3212121,91.0%
35,"Angelina","Houston/Gulf/East",10603,12.2%,3222724,91.3%
36,"Anderson","Dallas/Collin/NE",10519,18.2%,3233243,91.6%
37,"Hays","Central Texas/Austin",9766,3.8%,3243009,91.9%
38,"Rockwall","Dallas/Collin/NE",9679,8.3%,3252688,92.2%
39,"Johnson","FW/Denton/Panhandle",8914,4.7%,3261602,92.4%
40,"Hunt","Dallas/Collin/NE",8053,7.7%,3269655,92.7%
41,"Liberty","Houston/Gulf/East",7806,8.0%,3277461,92.9%
42,"Ector","FW/Denton/Panhandle",7650,4.7%,3285111,93.1%
43,"Grayson","FW/Denton/Panhandle",7441,5.3%,3292552,93.3%
44,"Orange","Houston/Gulf/East",7153,8.4%,3299705,93.5%
45,"Rusk","Dallas/Collin/NE",6920,13.2%,3306625,93.7%
46,"Cherokee","Dallas/Collin/NE",6638,13.0%,3313263,93.9%
47,"Lamar","Dallas/Collin/NE",6239,12.4%,3319502,94.1%
48,"Bastrop","Central Texas/Austin",5854,5.7%,3325356,94.2%
49,"Navarro","Dallas/Collin/NE",5704,10.6%,3331060,94.4%
50,"Washington","Central Texas/Austin",5470,15.1%,3336530,94.6%
51,"Wharton","Houston/Gulf/East",5167,12.4%,3341697,94.7%
52,"Jasper","Houston/Gulf/East",5061,15.4%,3346758,94.8%
53,"Victoria","San Antonio/Corpus",4999,5.5%,3351757,95.0%
54,"Hidalgo","El Paso/Border/RGV",4814,0.5%,3356571,95.1%
55,"Cass","Dallas/Collin/NE",4781,16.7%,3361352,95.3%
56,"Houston","Houston/Gulf/East",4750,21.5%,3366102,95.4%
57,"Randall","FW/Denton/Panhandle",4639,3.2%,3370741,95.5%
58,"Henderson","Dallas/Collin/NE",4408,5.3%,3375149,95.7%
59,"Comal","San Antonio/Corpus",4271,2.4%,3379420,95.8%
60,"Polk","Houston/Gulf/East",4057,7.8%,3383477,95.9%
61,"Tom Green","San Antonio/Corpus",4009,3.4%,3387486,96.0%
62,"Limestone","Central Texas/Austin",3770,17.0%,3391256,96.1%
63,"Shelby","Dallas/Collin/NE",3751,15.6%,3395007,96.2%
64,"Matagorda","Houston/Gulf/East",3669,10.1%,3398676,96.3%
65,"Chambers","Houston/Gulf/East",3554,7.2%,3402230,96.4%
66,"Grimes","Central Texas/Austin",3491,11.5%,3405721,96.5%
67,"Falls","Central Texas/Austin",3387,19.8%,3409108,96.6%
68,"Robertson","Central Texas/Austin",3385,19.9%,3412493,96.7%
69,"Hardin","Houston/Gulf/East",3183,5.6%,3415676,96.8%
70,"Upshur","Dallas/Collin/NE",2995,7.2%,3418671,96.9%
71,"Titus","Dallas/Collin/NE",2963,9.5%,3421634,97.0%
72,"Freestone","Central Texas/Austin",2903,14.7%,3424537,97.1%
73,"Austin","Houston/Gulf/East",2690,8.8%,3427227,97.1%
74,"Hopkins","Dallas/Collin/NE",2641,7.1%,3429868,97.2%
75,"Panola","Dallas/Collin/NE",2577,11.4%,3432445,97.3%
76,"Colorado","Houston/Gulf/East",2550,12.3%,3434995,97.3%
77,"Milam","Central Texas/Austin",2341,9.3%,3437336,97.4%
78,"Fannin","Dallas/Collin/NE",2299,6.3%,3439635,97.5%
79,"San Jacinto","Houston/Gulf/East",2274,8.1%,3441909,97.5%
80,"Morris","Dallas/Collin/NE",2207,18.4%,3444116,97.6%
81,"Newton","Houston/Gulf/East",2185,17.9%,3446301,97.7%
82,"Parker","FW/Denton/Panhandle",2183,1.4%,3448484,97.7%
